ExperimentId,Approach,TaskFinishTime,SkillName,SkillChanceToFail,SkillBatteryConsume, Location,SuccessResult,FailureReasonEnum,RobotName, RobotColor, BatteryCharge,BatteryDischargeRate,Skills,Speed,EndBatteryCharge
0,Baseline,88.41,open-door,0.02,0.01,RoomA,true,None,Cleaner,Blue,1.00,0.00, clean-room*sanitize-robot*open-door*,150.00,0.99
0,Baseline,88.41,clean-room,0.01,0.12,RoomA,true,None,Cleaner,Blue,0.99,0.00, clean-room*sanitize-robot*open-door*,150.00,0.79
0,Baseline,88.41,sanitize-robot,0.01,0.01,SanitizationRoom,true,None,Cleaner,Blue,0.79,0.00, clean-room*sanitize-robot*open-door*,150.00,0.54
0,Baseline,88.41,move-furniture,0.01,0.01,RoomA,true,None,Organizer2,Black,1.00,0.00, move-furniture*,150.00,0.98
0,Baseline,88.41,move-furniture,0.03,0.01,RoomA,true,None,Organizer1,Green,1.00,0.00, move-furniture*,110.00,0.52
0,Baseline,88.41,clean-room,0.01,0.12,RoomB,true,None,Cleaner,Blue,0.54,0.00, clean-room*sanitize-robot*open-door*,150.00,0.28
0,Baseline,88.41,sanitize-robot,0.01,0.01,SanitizationRoom,false,Low Battery,Cleaner,Blue,0.28,0.00, clean-room*sanitize-robot*open-door*,150.00,-0.00
1,Baseline,105.37,open-door,0.02,0.01,RoomA,true,None,Cleaner,Blue,1.00,0.00, clean-room*sanitize-robot*open-door*,150.00,0.99
1,Baseline,105.37,clean-room,0.01,0.12,RoomA,true,None,Cleaner,Blue,0.99,0.00, clean-room*sanitize-robot*open-door*,150.00,0.79
1,Baseline,105.37,sanitize-robot,0.01,0.01,SanitizationRoom,true,None,Cleaner,Blue,0.79,0.00, clean-room*sanitize-robot*open-door*,150.00,0.54
1,Baseline,105.37,move-furniture,0.01,0.01,RoomA,true,None,Organizer2,Black,1.00,0.00, move-furniture*,150.00,0.98
1,Baseline,105.37,move-furniture,0.03,0.01,RoomA,true,None,Organizer1,Green,1.00,0.00, move-furniture*,110.00,0.52
1,Baseline,105.37,clean-room,0.01,0.12,RoomB,true,None,Cleaner,Blue,0.54,0.00, clean-room*sanitize-robot*open-door*,150.00,0.28
1,Baseline,105.37,sanitize-robot,0.01,0.01,SanitizationRoom,false,Low Battery,Cleaner,Blue,0.28,0.00, clean-room*sanitize-robot*open-door*,150.00,-0.00
1,Baseline,105.37,open-door,0.01,0.01,RoomA,true,None,Cleaner,Green,0.60,0.00, clean-room*sanitize-robot*open-door*,100.00,0.60
1,Baseline,105.37,clean-room,0.10,0.01,RoomA,true,None,Cleaner,Green,0.60,0.00, clean-room*sanitize-robot*open-door*,100.00,0.60
1,Baseline,105.37,sanitize-robot,0.01,0.01,SanitizationRoom,true,None,Cleaner,Green,0.60,0.00, clean-room*sanitize-robot*open-door*,100.00,0.57
1,Baseline,105.37,move-furniture,0.03,0.01,RoomA,true,None,Organizer1,Blue,0.80,0.00, move-furniture*,120.00,0.78
1,Baseline,105.37,move-furniture,0.03,0.01,RoomA,true,None,Organizer2,Red,0.70,0.00, move-furniture*,120.00,0.68
1,Baseline,105.37,clean-room,0.10,0.01,RoomB,true,None,Cleaner,Green,0.57,0.00, clean-room*sanitize-robot*open-door*,100.00,0.54
1,Baseline,105.37,sanitize-robot,0.01,0.01,SanitizationRoom,true,None,Cleaner,Green,0.54,0.00, clean-room*sanitize-robot*open-door*,100.00,0.51
1,Baseline,105.37,move-furniture,0.03,0.01,RoomB,false,Skill Failure,Organizer1,Blue,0.78,0.00, move-furniture*,120.00,0.78
2,Baseline,33.85,open-door,0.02,0.01,RoomA,true,None,Cleaner,Blue,1.00,0.00, clean-room*sanitize-robot*open-door*,150.00,0.99
2,Baseline,33.85,clean-room,0.01,0.12,RoomA,true,None,Cleaner,Blue,0.99,0.00, clean-room*sanitize-robot*open-door*,150.00,0.79
2,Baseline,33.85,sanitize-robot,0.01,0.01,SanitizationRoom,true,None,Cleaner,Blue,0.79,0.00, clean-room*sanitize-robot*open-door*,150.00,0.54
2,Baseline,33.85,move-furniture,0.01,0.01,RoomA,true,None,Organizer2,Black,1.00,0.00, move-furniture*,150.00,0.98
2,Baseline,33.85,move-furniture,0.03,0.01,RoomA,true,None,Organizer1,Green,1.00,0.00, move-furniture*,110.00,0.52
2,Baseline,33.85,clean-room,0.01,0.12,RoomB,true,None,Cleaner,Blue,0.54,0.00, clean-room*sanitize-robot*open-door*,150.00,0.28
2,Baseline,33.85,sanitize-robot,0.01,0.01,SanitizationRoom,false,Low Battery,Cleaner,Blue,0.28,0.00, clean-room*sanitize-robot*open-door*,150.00,-0.00
2,Baseline,33.85,open-door,0.01,0.01,RoomA,true,None,Cleaner,Green,0.60,0.00, clean-room*sanitize-robot*open-door*,100.00,0.60
2,Baseline,33.85,clean-room,0.10,0.01,RoomA,true,None,Cleaner,Green,0.60,0.00, clean-room*sanitize-robot*open-door*,100.00,0.60
2,Baseline,33.85,sanitize-robot,0.01,0.01,SanitizationRoom,true,None,Cleaner,Green,0.60,0.00, clean-room*sanitize-robot*open-door*,100.00,0.57
2,Baseline,33.85,move-furniture,0.03,0.01,RoomA,true,None,Organizer1,Blue,0.80,0.00, move-furniture*,120.00,0.78
