ExperimentId,Approach,TaskFinishTime,SkillName,SkillChanceToFail,SkillBatteryConsume, Location,SuccessResult,FailureReasonEnum,RobotName, RobotColor, BatteryCharge,BatteryDischargeRate,Skills,Speed,EndBatteryCharge,TimeSpent, BatterySpent
2,Baseline,57.17,CleanRoom,0.01,0.05,RoomA,true,None,Cleaner,Blue,1.00,0.00, CleanRoom*SanitizeRobot*OpenDoor*,110.00,0.6718.32,-0.32
2,Baseline,57.17,SanitizeRobot,0.03,0.01,SanitizationRoom,true,None,Cleaner,Blue,0.67,0.00, CleanRoom*SanitizeRobot*OpenDoor*,110.00,0.1927.60,-0.49
2,Baseline,57.17,MoveFurniture,0.00,0.00,RoomA,false,Skill Not Found,Organizer1,Blue,1.00,0.00, none*,110.00,1.00223.40,1.00
3,Baseline,0.00,OpenDoor,0.01,0.09,RoomA,true,None,Cleaner,Red,0.70,0.00, CleanRoom*SanitizeRobot*OpenDoor*,80.00,0.7013.30,-0.00
3,Baseline,0.00,CleanRoom,0.01,0.01,RoomA,true,None,Cleaner,Red,0.70,0.00, CleanRoom*SanitizeRobot*OpenDoor*,80.00,0.6820.36,-0.02
3,Baseline,0.00,SanitizeRobot,0.03,0.01,SanitizationRoom,true,None,Cleaner,Red,0.68,0.00, CleanRoom*SanitizeRobot*OpenDoor*,80.00,0.6627.43,-0.02
3,Baseline,0.00,MoveFurniture,0.02,0.01,RoomA,true,None,Organizer2,Yellow,1.00,0.00, MoveFurniture*,120.00,0.8216.97,-0.18
3,Baseline,0.00,MoveFurniture,0.01,0.01,RoomA,true,None,Organizer1,Black,0.70,0.00, MoveFurniture*,100.00,0.6818.87,-0.02
3,Baseline,0.00,CleanRoom,0.01,0.01,RoomB,true,None,Cleaner,Red,0.66,0.00, CleanRoom*SanitizeRobot*OpenDoor*,80.00,0.6427.71,-0.02
3,Baseline,0.00,SanitizeRobot,0.03,0.01,SanitizationRoom,true,None,Cleaner,Red,0.64,0.00, CleanRoom*SanitizeRobot*OpenDoor*,80.00,0.6235.25,-0.02
